Model,Classifier,Accuracy,Precision,Recall,F1-Score
Logistic Regression with PCA,LogisticRegression(),0.7666666666666667,0.8076923076923077,0.9130434782608695,0.8571428571428572
Logistic Regression with Lasso,"LogisticRegression(C=0.1, penalty='l1', solver='liblinear')",0.8666666666666667,0.8518518518518519,1.0,0.92
Logistic Regression with Ridge,LogisticRegression(C=1),0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9130434782608695
Logistic Regression with Elastic Net,ElasticNet(alpha=0.1),0.8333333333333334,0.8214285714285714,1.0,0.9019607843137255
k-Nearest Neighbors,KNeighborsClassifier(n_neighbors=3),0.9666666666666667,0.9583333333333334,1.0,0.9787234042553191
Decision Tree,"DecisionTreeClassifier(criterion='entropy', max_depth=15, max_features='log2',
                       min_samples_split=10)",0.8666666666666667,0.9130434782608695,0.9130434782608695,0.9130434782608695
Random Forest,RandomForestClassifier(n_estimators=200),0.9,0.9166666666666666,0.9565217391304348,0.9361702127659574
Support Vector Machine,"SVC(C=10, gamma=0.1)",0.9666666666666667,1.0,0.9565217391304348,0.9777777777777777
Linear Discriminant Analysis,LinearDiscriminantAnalysis(),0.8,0.9047619047619048,0.8260869565217391,0.8636363636363636
Naive Bayes,GaussianNB(),0.7333333333333333,0.9411764705882353,0.6956521739130435,0.7999999999999999
Gradient Boosting,GradientBoostingClassifier(n_estimators=500),0.9333333333333333,0.9565217391304348,0.9565217391304348,0.9565217391304348
AdaBoost,AdaBoostClassifier(n_estimators=150),0.8333333333333334,0.9090909090909091,0.8695652173913043,0.888888888888889
Neural Network,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(10, 10),
              n_iter_no_change=5, random_state=123)",0.6666666666666666,0.7407407407407407,0.8695652173913043,0.7999999999999999
